Invoice/Item Number,Date,Volume Sold (Liters),Volume Sold (Gallons)
S28797800133,11/02/2015,0.75,0.2
S28288600108,10/05/2015,0.5,0.13
S27944000151,09/16/2015,0.75,0.2
S26592700118,07/06/2015,2.25,0.59
S23872000104,02/04/2015,12,3.17
S28631400012,10/22/2015,1,0.26
S27463200014,08/24/2015,9,2.38
S25983000086,06/04/2015,1.5,0.4
S24725000036,03/26/2015,1.5,0.4
S24384500071,03/05/2015,0.75,0.2
S26650700126,07/08/2015,4.5,1.19
S24241600042,02/26/2015,4.5,1.19
S27812100088,09/09/2015,2.25,0.59
S25340100055,04/28/2015,0.75,0.2
S23554900093,01/16/2015,9,2.38
S27768200118,09/08/2015,2.25,0.59
S28672000054,10/26/2015,0.5,0.13
S24710300011,03/25/2015,0.5,0.13
S29284400019,11/24/2015,9,2.38
S26655800016,07/08/2015,12,3.17
S24819800041,03/31/2015,3,0.79
S27546600035,08/26/2015,9,2.38
S26233800016,06/16/2015,2.25,0.59
S27246400008,08/11/2015,9,2.38
S28378300113,10/12/2015,1.5,0.4
S26152200028,06/11/2015,1.5,0.4
S26077300076,06/08/2015,3,0.79
S25923700054,06/01/2015,4.5,1.19
S23465900031,01/13/2015,2.25,0.59
S24134400042,02/19/2015,1.5,0.4
S28114200023,09/28/2015,12,3.17
S24374600023,03/05/2015,1.5,0.4
S25811200013,05/22/2015,0.5,0.13
S24687000131,03/24/2015,9,2.38
S24167000101,02/23/2015,1.12,0.3
S28802400086,11/02/2015,1.5,0.4
S24532400083,03/16/2015,0.75,0.2
S24024500087,02/12/2015,0.75,0.2
S27027600035,07/29/2015,2.25,0.59
S28681400013,10/26/2015,9,2.38
S25385000110,04/29/2015,0.38,0.1
S25708500012,05/18/2015,9,2.38
S27290300023,08/13/2015,4.8,1.27
S23998900050,02/11/2015,1.5,0.4
S26315200071,06/22/2015,1.5,0.4
S26526200027,07/01/2015,0.5,0.13
S26257600013,06/17/2015,10.5,2.77
S29163900065,11/18/2015,0.5,0.13
S28975400036,11/10/2015,0.5,0.13
S23681100045,01/26/2015,0.75,0.2
S25515600006,05/07/2015,9,2.38
S25837000009,05/26/2015,2.25,0.59
S28665400044,10/26/2015,0.5,0.13
S26728100075,07/13/2015,10.5,2.77
S29220400026,11/20/2015,1.5,0.4
S27485600096,08/24/2015,9,2.38
S23698500033,01/27/2015,10.5,2.77
S23398000070,01/08/2015,21,5.55
S23535800056,01/21/2015,9,2.38
S24848500181,04/01/2015,0.5,0.13
S23475800222,01/13/2015,0.75,0.2
S24059700017,02/16/2015,4.5,1.19
S26493600035,06/30/2015,9,2.38
S23801300108,02/02/2015,9,2.38
S28453600167,10/14/2015,13.5,3.57
S24298700007,03/02/2015,0.5,0.13
S27410500042,08/19/2015,1.5,0.4
S23920600028,02/09/2015,1.5,0.4
S28253000064,10/05/2015,2.25,0.59
S28876200036,11/05/2015,24,6.34
S26783900146,07/15/2015,12,3.17
S28476500067,10/15/2015,3.5,0.92
S26464800081,06/29/2015,10.5,2.77
S23773900027,02/02/2015,12,3.17
S25781500032,05/21/2015,3.5,0.92
S25851700139,05/26/2015,2.25,0.59
S25160300059,04/20/2015,1,0.26
S26345700148,06/22/2015,1,0.26
S23761200040,01/29/2015,12,3.17
S28023200007,09/21/2015,3,0.79
S29245900047,11/23/2015,9,2.38
S23300100001,01/05/2015,9,2.38
S26152800041,06/11/2015,1.12,0.3
S26457100119,06/29/2015,9,2.38
S24436200040,03/10/2015,1.5,0.4
S26508800014,06/30/2015,9,2.38
S28674200048,10/26/2015,9,2.38
S26421300020,06/25/2015,10.5,2.77
S25906700008,06/01/2015,12,3.17
S29324400116,11/30/2015,1.5,0.4
S26414000026,06/25/2015,18,4.76
S28466500056,10/14/2015,2.25,0.59
S28471300040,10/15/2015,9,2.38
S27158500017,08/05/2015,0.5,0.13
S25079500197,04/14/2015,0.75,0.2
S24124000140,02/19/2015,9,2.38
S24451100081,03/10/2015,2.25,0.59
S27757900015,09/14/2015,9,2.38
S28331800140,10/07/2015,0.75,0.2
S25405100075,05/04/2015,12,3.17
S26888800037,07/21/2015,6,1.59
S23838800116,02/03/2015,9,2.38
S26846600003,07/21/2015,9,2.38
S28822400064,11/03/2015,9,2.38
S26335800122,06/22/2015,2.25,0.59
S23938700157,02/09/2015,0.5,0.13
S27150400008,08/04/2015,1,0.26
S26034500053,06/04/2015,2.25,0.59
S25018800019,04/13/2015,1.5,0.4
S28363500012,10/08/2015,10.5,2.77
S24298300184,03/02/2015,1.5,0.4
S23291700046,01/05/2015,1,0.26
S24055600064,02/16/2015,12,3.17
S23578500002,01/20/2015,9,2.38
S24526300006,03/16/2015,10.5,2.77
S24737000146,03/26/2015,1.5,0.4
S23935200096,02/09/2015,1.5,0.4
S27324100104,08/13/2015,7.5,1.98
S26813900028,07/20/2015,10.5,2.77
S27706700021,09/03/2015,1.2,0.32
S26457100049,06/29/2015,2,0.53
S27041000121,07/29/2015,9,2.38
S27434400004,08/19/2015,48,12.68
S26728100022,07/13/2015,0.5,0.13
S27335600026,08/20/2015,12,3.17
S25431400087,05/04/2015,2.25,0.59
S24124000141,02/19/2015,9,2.38
S26596100096,07/06/2015,1.5,0.4
S25737200116,05/19/2015,1.5,0.4
S24475600090,03/11/2015,1.12,0.3
S28883200047,11/05/2015,2.25,0.59
S26928700011,07/23/2015,4.8,1.27
S26927800063,07/23/2015,0.75,0.2
S25079500045,04/14/2015,6,1.59
S26464800075,06/29/2015,9,2.38
S28805200037,11/02/2015,1.5,0.4
S24337600033,03/03/2015,9,2.38
S27027600039,07/29/2015,1.5,0.4
S26784500020,07/16/2015,3,0.79
S27363300161,08/17/2015,1.5,0.4
S23612600102,01/21/2015,0.5,0.13
S26838700051,07/20/2015,1.5,0.4
S23787600039,02/02/2015,1,0.26
S26677900009,07/09/2015,3.6,0.95
S26005200013,06/03/2015,1.5,0.4
S26934600064,07/23/2015,2.25,0.59
S24901700034,04/06/2015,12,3.17
S24130000019,02/19/2015,9,2.38
S28894800007,11/05/2015,3.6,0.95
S28951700020,11/09/2015,0.2,0.05
S24197900087,02/24/2015,1.5,0.4
S27791400106,09/08/2015,2.25,0.59
S24745200115,03/26/2015,2.25,0.59
S28494900055,10/21/2015,24,6.34
S25416300021,05/04/2015,9,2.38
S23781900083,02/02/2015,1.5,0.4
S28981200077,11/11/2015,3,0.79
S24273300050,03/02/2015,3,0.79
S24451100069,03/10/2015,3,0.79
S28034300179,09/21/2015,1.5,0.4
S28947700064,11/09/2015,0.5,0.13
S27554000034,08/26/2015,12,3.17
S27039400069,07/30/2015,0.75,0.2
S27236800099,08/10/2015,1.5,0.4
S27674600156,09/02/2015,1.12,0.3
S27016900191,07/28/2015,1.12,0.3
S28528600021,10/19/2015,9.6,2.54
S24332600084,03/03/2015,12,3.17
S24686000071,03/24/2015,0.75,0.2
S24785900120,03/30/2015,1.5,0.4
S23300100059,01/05/2015,1.5,0.4
S26048900118,06/08/2015,0.5,0.13
S25231300241,04/22/2015,3,0.79
S27834200111,09/10/2015,9,2.38
S23687400031,01/26/2015,4.5,1.19
S24963800041,04/09/2015,1.5,0.4
S27863100051,09/14/2015,10.5,2.77
S23936300007,02/09/2015,0.5,0.13
S29215500121,11/20/2015,10.5,2.77
S26804900082,07/16/2015,9,2.38
S27546600017,08/26/2015,0.5,0.13
S26677900040,07/09/2015,2.25,0.59
S24118300126,02/18/2015,3,0.79
S26693700044,07/13/2015,2.25,0.59
S25884100064,05/28/2015,1,0.26
S28015300068,09/21/2015,2.25,0.59
S24115300010,02/18/2015,3,0.79
S25143400056,04/20/2015,1.5,0.4
S24038000076,02/16/2015,1.5,0.4
S26714800083,07/13/2015,3,0.79
S24909600164,04/06/2015,2,0.53
S23971900013,02/10/2015,10.5,2.77
S27400000108,08/18/2015,1.12,0.3
S25791500070,05/21/2015,9,2.38
S27024800004,07/30/2015,9,2.38
S27800500111,09/09/2015,2.25,0.59
S23859900008,02/04/2015,10.5,2.77
S24147300055,02/23/2015,12,3.17
S27270700011,08/12/2015,9,2.38
S25689700019,05/18/2015,10.5,2.77
S24298300152,03/02/2015,0.5,0.13
S25327100021,04/28/2015,9,2.38
S24416700059,03/09/2015,12,3.17
S25958000029,06/02/2015,1,0.26
S24824800191,03/31/2015,3,0.79
S24717000011,03/25/2015,9,2.38
S27158500165,08/05/2015,1,0.26
S24939700046,04/07/2015,10.5,2.77
S26697500071,07/13/2015,9,2.38
S23927000009,02/09/2015,8,2.11
S24973500033,04/08/2015,0.4,0.11
S25759900184,05/20/2015,1.5,0.4
S27583300024,08/27/2015,9,2.38
S27213300011,08/10/2015,9,2.38
S23868700038,02/04/2015,4.5,1.19
S26172000034,06/15/2015,36,9.51
S27585200003,08/27/2015,36,9.51
S27801000065,09/09/2015,1.2,0.32
S27027100119,07/29/2015,2.25,0.59
S27192100013,08/06/2015,1.75,0.46
S23355400008,01/07/2015,6,1.59
S26804900060,07/16/2015,9,2.38
S24654700011,03/23/2015,9,2.38
S25100200005,04/15/2015,4,1.06
S28314700033,10/07/2015,1.5,0.4
S27447400080,08/20/2015,4.5,1.19
S27846300024,09/14/2015,9,2.38
S26888800127,07/21/2015,3,0.79
S27791400196,09/08/2015,3,0.79
S24337600119,03/03/2015,9,2.38
S26888800038,07/21/2015,6,1.59
S24574400021,03/17/2015,2.25,0.59
S29217700106,11/21/2015,0.5,0.13
S24650300013,03/23/2015,9,2.38
S25464300012,05/05/2015,4.5,1.19
S28411000010,10/12/2015,6,1.59
S27057800004,07/30/2015,3,0.79
S25776600064,05/21/2015,0.75,0.2
S24921700046,04/07/2015,1.5,0.4
S26369800036,06/23/2015,9,2.38
S24623500069,03/19/2015,9,2.38
S25279800001,04/29/2015,9,2.38
S24665100014,03/23/2015,0.5,0.13
S25141800001,04/22/2015,9,2.38
S25013600021,04/13/2015,9,2.38
S26134900018,06/11/2015,0.5,0.13
S23612300101,01/21/2015,0.75,0.2
S27453400039,08/24/2015,9,2.38
S26038400038,06/10/2015,24,6.34
S26674700152,07/09/2015,4.5,1.19
S24372600028,03/05/2015,1.88,0.5
S28331800231,10/07/2015,10.5,2.77
S23317300027,01/05/2015,9,2.38
S27925700039,09/15/2015,9,2.38
S25977800036,06/02/2015,1.5,0.4
S25677200016,05/18/2015,9,2.38
S24867000012,04/02/2015,12,3.17
S28407600001,10/12/2015,9,2.38
S26855200017,07/21/2015,3.75,0.99
S23863900094,02/04/2015,9,2.38
S29360700101,11/30/2015,3.75,0.99
S25059900173,04/14/2015,1.12,0.3
S25979300138,06/02/2015,0.5,0.13
S28918600076,11/09/2015,12,3.17
S26506000011,06/30/2015,9,2.38
S24437200056,03/11/2015,1.5,0.4
S24384300026,03/05/2015,0.5,0.13
S25434600133,05/04/2015,1.5,0.4
S26590300036,07/06/2015,4.2,1.11
S26161100070,06/11/2015,42,11.1
S27370200087,08/17/2015,10.5,2.77
S24159700026,02/23/2015,1.5,0.4
S24089400015,02/17/2015,9,2.38
S29005100047,11/11/2015,2.25,0.59
S27191900017,08/06/2015,18,4.76
S28562500008,10/22/2015,2.25,0.59
S25544400108,05/11/2015,2.25,0.59
S29221800059,11/20/2015,4.5,1.19
S24624200037,03/19/2015,1,0.26
S25504100146,05/06/2015,2.25,0.59
S24978900026,04/09/2015,1,0.26
S28466500108,10/14/2015,31.5,8.32
S24195000018,02/24/2015,2.25,0.59
S28201800038,09/30/2015,0.8,0.21
S24164800015,02/23/2015,4.5,1.19
S27791400072,09/08/2015,9,2.38
S26284700015,06/18/2015,3.75,0.99
S27324100107,08/13/2015,4.5,1.19
S27377000043,08/18/2015,1.5,0.4
S23273400003,01/06/2015,9,2.38
S25128600094,04/16/2015,1.75,0.46
S27884700018,09/14/2015,0.5,0.13
S23954900021,02/10/2015,12,3.17
S25797800015,05/22/2015,9,2.38
S27407800034,08/19/2015,9,2.38
S24962900150,04/08/2015,0.5,0.13
S26677900018,07/09/2015,9,2.38
S28131700029,09/28/2015,10.5,2.77
S26957100026,07/27/2015,9,2.38
S28154000159,09/28/2015,2.25,0.59
S25990300014,06/04/2015,1.5,0.4
S28283600007,10/05/2015,9,2.38
S24476900024,03/11/2015,2.25,0.59
S23722200019,01/28/2015,6,1.59
S26704400150,07/13/2015,1.5,0.4
S28351100010,10/08/2015,31.5,8.32
S26618800023,07/07/2015,1.5,0.4
S27943100062,09/16/2015,3,0.79
S28594500039,10/21/2015,9,2.38
S27978100097,09/17/2015,1,0.26
S27846300014,09/14/2015,4.5,1.19
S27562900053,08/27/2015,9,2.38
S28760900037,10/29/2015,3,0.79
S23535800036,01/21/2015,24,6.34
S25233300036,04/22/2015,9,2.38
S23993900128,02/11/2015,3,0.79
S24359100010,03/04/2015,1.88,0.5
S27629600147,08/31/2015,9,2.38
S26152800025,06/11/2015,0.8,0.21
S23343700089,01/06/2015,2.25,0.59
S28094000014,09/23/2015,9,2.38
S26484500022,06/29/2015,10.5,2.77
S24477000183,03/11/2015,3,0.79
S25336000055,04/28/2015,3.6,0.95
S26987800155,07/27/2015,0.5,0.13
S26413400052,06/25/2015,9,2.38
S24754000061,03/26/2015,1.5,0.4
S25675300088,05/18/2015,1.5,0.4
S26811800018,07/16/2015,10.5,2.77
S29282700023,11/24/2015,9,2.38
S26524700023,07/01/2015,9,2.38
S24790500025,03/30/2015,10.5,2.77
S25873900109,05/27/2015,2.25,0.59
S23342600071,01/06/2015,2.25,0.59
S28052000075,09/22/2015,0.5,0.13
S23439500083,01/12/2015,3,0.79
S27370200089,08/17/2015,10.5,2.77
S25300900082,04/27/2015,0.5,0.13
S25941800044,06/01/2015,9,2.38
S29215500119,11/20/2015,1.5,0.4
S28099500074,09/24/2015,9,2.38
S26161100077,06/11/2015,0.75,0.2
S26330000007,06/22/2015,10.5,2.77
S26746500041,07/14/2015,1.5,0.4
S27739300003,09/08/2015,4.5,1.19
S23971900095,02/10/2015,3,0.79
S24182700133,02/23/2015,2.25,0.59
S27445500065,08/20/2015,6,1.59
S26132800102,06/10/2015,1,0.26
S23378600042,01/07/2015,9,2.38
S23635500016,01/22/2015,9.6,2.54
S28367900134,10/08/2015,6,1.59
S23343700067,01/06/2015,1.5,0.4
S23589000071,01/20/2015,1.5,0.4
S23659900065,01/26/2015,9,2.38
S26987800152,07/27/2015,1,0.26
S27675000006,09/02/2015,2.25,0.59
S28156100098,09/28/2015,0.5,0.13
S26822900093,07/20/2015,1.5,0.4
S28229000011,10/01/2015,2.25,0.59
S26796100096,07/16/2015,0.75,0.2
S24030500031,02/17/2015,2.25,0.59
S26297900058,06/18/2015,1.5,0.4
S25504100046,05/06/2015,9,2.38
S27182700018,08/05/2015,0.5,0.13
S25251600002,04/23/2015,9.6,2.54
S26275400022,06/18/2015,10.5,2.77
S24141400027,02/19/2015,4.5,1.19
S26677500053,07/09/2015,0.75,0.2
S24298300153,03/02/2015,0.5,0.13
S28753900015,10/29/2015,1,0.26
S24165500003,02/23/2015,9,2.38
S28156000033,09/28/2015,1.88,0.5
S26638400020,07/08/2015,2.25,0.59
S26297800066,06/18/2015,0.75,0.2
S27349500102,08/17/2015,0.75,0.2
S24060200163,02/16/2015,1.5,0.4
S24618700017,03/19/2015,0.75,0.2
S28354900030,10/12/2015,9,2.38
S29253700084,11/23/2015,5.25,1.39
S26150500035,06/11/2015,9,2.38
S27739000119,09/04/2015,9,2.38
S25735600012,05/19/2015,2.4,0.63
S28291500020,10/08/2015,9,2.38
S28201800211,09/30/2015,2.25,0.59
S28793400031,11/02/2015,9,2.38
S29327100017,11/30/2015,9,2.38
S25954000004,06/02/2015,9,2.38
S27511300003,08/26/2015,9,2.38
S24939700041,04/07/2015,9,2.38
S28663200047,10/26/2015,0.5,0.13
S25262700084,04/23/2015,0.75,0.2
S24060200213,02/16/2015,0.5,0.13
S25625700112,05/13/2015,0.5,0.13
S25048200016,04/13/2015,0.5,0.13
S24449700002,03/10/2015,9,2.38
S25043100012,04/13/2015,9,2.38
S25827200028,05/26/2015,9,2.38
S25514500115,05/07/2015,2.25,0.59
S26539300103,07/01/2015,9,2.38
S27043400025,07/29/2015,0.75,0.2
S27525900037,08/25/2015,27,7.13
S25990700013,06/03/2015,9,2.38
S24475800037,03/11/2015,9,2.38
S26506000033,06/30/2015,2.25,0.59
S24860600080,04/02/2015,0.75,0.2
S26704400085,07/13/2015,9,2.38
S24602500052,03/18/2015,9,2.38
S23971900092,02/10/2015,2.25,0.59
S24782300023,03/30/2015,1.5,0.4
S27925700053,09/15/2015,2.25,0.59
S23757900072,01/29/2015,1.5,0.4
S24017500003,02/12/2015,1.5,0.4
S25230200163,04/22/2015,1.5,0.4
S26714800042,07/13/2015,3,0.79
S27195600022,08/06/2015,4.5,1.19
S25227000030,04/23/2015,1.12,0.3
S25102400104,04/15/2015,4.5,1.19
S24425800143,03/09/2015,9,2.38
S28314700038,10/07/2015,2.25,0.59
S24916500007,04/06/2015,9,2.38
S24030500040,02/17/2015,2.4,0.63
S27741700032,09/04/2015,1.5,0.4
S27582600079,08/27/2015,0.75,0.2
S27872900062,09/14/2015,0.5,0.13
S28766600012,11/02/2015,2.25,0.59
S27314200012,08/13/2015,9,2.38
S28238800084,10/01/2015,1.5,0.4
S26796100064,07/16/2015,0.75,0.2
S28082900025,09/23/2015,1.12,0.3
S27692600014,09/08/2015,9,2.38
S23300100082,01/05/2015,2.25,0.59
S24372600023,03/05/2015,2.25,0.59
S24541700076,03/16/2015,9,2.38
S28826600028,11/03/2015,4.5,1.19
S23993200018,02/11/2015,9,2.38
S27194800017,08/06/2015,9,2.38
S27888800068,09/14/2015,12,3.17
S25044300009,04/13/2015,9,2.38
S28947700099,11/09/2015,9,2.38
S27336800003,08/18/2015,4.5,1.19
S26106800042,06/09/2015,9,2.38
S27370200007,08/17/2015,9,2.38
S23353900020,01/07/2015,9,2.38
S29093100028,11/16/2015,12,3.17
S28576200085,10/20/2015,0.5,0.13
S25932200040,06/01/2015,2.25,0.59
S28991600060,11/10/2015,10.5,2.77
S28847900083,11/03/2015,3,0.79
S26975700093,07/27/2015,3.75,0.99
S25388900008,04/30/2015,9,2.38
S26150500036,06/11/2015,36,9.51
S27978100063,09/17/2015,3,0.79
S24425800049,03/09/2015,0.5,0.13
S28399200092,10/12/2015,13.5,3.57
S24002500032,02/11/2015,1.88,0.5
S27582600147,08/27/2015,1.5,0.4
S25983000074,06/04/2015,2.25,0.59
S29324400121,11/30/2015,1.5,0.4
S28495000033,10/19/2015,12,3.17
S25316400154,04/27/2015,1.5,0.4
S26133600015,06/10/2015,4.5,1.19
S28444100011,10/14/2015,9,2.38
S27888600036,09/14/2015,0.75,0.2
S24246500080,02/26/2015,1.5,0.4
S23370500130,01/07/2015,1.12,0.3
S26287700003,06/18/2015,1.5,0.4
S27327700052,08/19/2015,9,2.38
S26270600121,06/17/2015,2.25,0.59
S24050500078,02/16/2015,9,2.38
S27380700149,08/18/2015,12,3.17
S25623400008,05/13/2015,3,0.79
S23398000074,01/08/2015,9,2.38
S24536500010,03/16/2015,18,4.76
S26297800064,06/18/2015,1.5,0.4
S26077300157,06/08/2015,0.5,0.13
S23770300088,01/29/2015,3,0.79
S28223000015,10/01/2015,2.25,0.59
S29112800011,11/18/2015,12,3.17
S28609700005,10/22/2015,9,2.38
S23869400023,02/04/2015,2.25,0.59
S28170100040,09/29/2015,21,5.55
S25593900074,05/12/2015,0.75,0.2
S23531200063,01/15/2015,2.25,0.59
S28188600008,09/30/2015,9,2.38
S27551900038,08/26/2015,0.75,0.2
S27058600033,07/30/2015,3,0.79
S24353600108,03/04/2015,0.38,0.1
S25124800080,04/16/2015,4.5,1.19
S24785300163,03/30/2015,1.5,0.4
S24415600021,03/09/2015,0.75,0.2
S29132700029,11/17/2015,1.5,0.4
S26641100035,07/08/2015,9,2.38
S28863300018,11/04/2015,5.25,1.39
S24081500015,02/17/2015,4.5,1.19
S29172300023,11/19/2015,9,2.38
S26592700077,07/06/2015,1.12,0.3
S24790900010,03/30/2015,9,2.38
S28274300023,10/05/2015,1,0.26
S26867100031,07/21/2015,2.25,0.59
S25093700024,04/16/2015,9,2.38
S26114200173,06/09/2015,3,0.79
S28002100094,09/21/2015,2.25,0.59
S25175400065,04/20/2015,1.5,0.4
S28562300016,10/20/2015,9,2.38
S25072400048,04/15/2015,2.25,0.59
S24235800121,02/25/2015,2.25,0.59
S24447800023,03/10/2015,4.5,1.19
S28099100058,09/24/2015,0.5,0.13
S23332800217,01/06/2015,1.75,0.46
S29220400069,11/20/2015,9,2.38
S24289500008,03/02/2015,9,2.38
S23300100079,01/05/2015,2.25,0.59
S27310500043,08/13/2015,9,2.38
S26603700002,07/13/2015,4.5,1.19
S27768200108,09/08/2015,3,0.79
S27363300100,08/17/2015,10.5,2.77
S27778200056,09/08/2015,0.75,0.2
S27016900176,07/28/2015,1.5,0.4
S25231300084,04/22/2015,9,2.38
S26161100064,06/11/2015,42,11.1
S28981400039,11/11/2015,3,0.79
S26052400049,06/08/2015,9,2.38
S24947500094,04/07/2015,0.38,0.1
S24217800085,02/24/2015,1.5,0.4
S28539100008,10/19/2015,4.5,1.19
S27487600071,08/25/2015,3,0.79
S25376300140,04/29/2015,3,0.79
S27511900114,08/25/2015,3,0.79
S28659100020,10/26/2015,9,2.38
S24207000025,02/24/2015,1.5,0.4
S26968600096,07/27/2015,1.5,0.4
S27339500044,08/17/2015,9,2.38
S29109700016,11/17/2015,9,2.38
S29052900017,11/18/2015,12,3.17
S24057100154,02/16/2015,2,0.53
S24449900011,03/10/2015,5.25,1.39
S28052600049,09/22/2015,0.75,0.2
S25027500073,04/13/2015,9,2.38
S25884100063,05/28/2015,1.5,0.4
S24941900070,04/08/2015,1.5,0.4
S29142300117,11/18/2015,1,0.26
S23927000122,02/09/2015,3,0.79
S28581300034,10/21/2015,3,0.79
S26677900030,07/09/2015,0.5,0.13
S24290800034,03/02/2015,4.5,1.19
S29257500039,11/30/2015,4.5,1.19
S29175600014,11/19/2015,0.5,0.13
S28466500185,10/14/2015,18,4.76
S28694000029,10/27/2015,9,2.38
S25351500050,04/28/2015,9,2.38
S28022100084,09/21/2015,1.5,0.4
S26522900021,07/01/2015,5.25,1.39
S23803000021,02/02/2015,2.25,0.59
S26589600096,07/06/2015,2.25,0.59
S26572000015,07/06/2015,9,2.38
S25699700024,05/18/2015,0.38,0.1
S27884700017,09/14/2015,0.5,0.13
S26023300039,06/04/2015,24,6.34
S26748200024,07/15/2015,9,2.38
S26373000040,06/24/2015,2.25,0.59
S25977600101,06/02/2015,2.25,0.59
S25478500152,05/05/2015,2.25,0.59
S28416800008,10/13/2015,4.5,1.19
S24118500209,02/18/2015,2.25,0.59
S27159500011,08/06/2015,5.25,1.39
S28154000147,09/28/2015,1.5,0.4
S27705200033,09/03/2015,10.5,2.77
S24967400173,04/08/2015,3.75,0.99
S29252100014,11/30/2015,0.5,0.13
S27037300074,07/29/2015,9,2.38
S24221000050,02/26/2015,5.25,1.39
S28318400133,10/06/2015,9,2.38
S27696700023,09/03/2015,10.5,2.77
S27944000099,09/16/2015,0.5,0.13
S25399900160,04/30/2015,9,2.38
S28131900022,09/28/2015,10.5,2.77
S26928800015,07/23/2015,2.25,0.59
S28776800003,11/02/2015,9,2.38
S25380500049,04/30/2015,9,2.38
S25079500157,04/14/2015,3,0.79
S27707200027,09/03/2015,2.25,0.59
S24254900005,02/26/2015,9,2.38
S24717000009,03/25/2015,9,2.38
S24114900030,02/18/2015,12,3.17
S27477800001,08/24/2015,9,2.38
S27573100017,08/27/2015,4.8,1.27
S26563900071,07/06/2015,3.5,0.92
S25638900079,05/14/2015,1.5,0.4
S27562900014,08/27/2015,9,2.38
S27730000023,09/04/2015,9,2.38
S24449700033,03/10/2015,9,2.38
S27001400007,07/29/2015,9,2.38
S23641700061,01/22/2015,10.5,2.77
S25375100136,04/29/2015,3,0.79
S26329000147,06/22/2015,9,2.38
S26457100161,06/29/2015,9,2.38
S27410500057,08/19/2015,9,2.38
S26288300009,06/18/2015,14.4,3.8
S25343900109,04/28/2015,1.5,0.4
S29112800235,11/18/2015,2.25,0.59
S23669600124,01/26/2015,2.25,0.59
S25699300191,05/18/2015,1.5,0.4
S26779400019,07/15/2015,3,0.79
S27705200060,09/03/2015,2.25,0.59
S23795600021,02/03/2015,4.5,1.19
S25128600098,04/16/2015,1.75,0.46
S29185900071,11/19/2015,9.6,2.54
S27158700037,08/05/2015,3,0.79
S25771500049,05/20/2015,9,2.38
S29360700062,11/30/2015,10.5,2.77
S26345700258,06/22/2015,3.75,0.99
S27420700080,08/19/2015,2.25,0.59
S27254800123,08/11/2015,9,2.38
S29257300004,11/24/2015,2.25,0.59
S25380500020,04/30/2015,10.5,2.77
S25371900008,04/29/2015,9,2.38
S27445500064,08/20/2015,1.5,0.4
S27037300080,07/29/2015,10.5,2.77
S28935800020,11/09/2015,5.25,1.39
S28694000002,10/27/2015,9,2.38
S24357900164,03/04/2015,2.25,0.59
S26148100029,06/11/2015,1.5,0.4
S26572000060,07/06/2015,4.5,1.19
S25059900024,04/14/2015,6,1.59
S28223900055,10/01/2015,1.5,0.4
S24574500031,03/17/2015,9,2.38
S28340100026,10/07/2015,12,3.17
S24552600019,03/17/2015,1,0.26
S28656400007,10/27/2015,3,0.79
S24339700083,03/04/2015,9,2.38
S24512900021,03/16/2015,12,3.17
S27780000047,09/08/2015,1.5,0.4
S28729900045,10/29/2015,2.25,0.59
S25158000038,04/20/2015,2.25,0.59
S27955400102,09/16/2015,0.5,0.13
S27626000107,08/31/2015,1.5,0.4
S24100100005,02/18/2015,9,2.38
S24945400048,04/07/2015,10.5,2.77
S28610500063,10/21/2015,0.6,0.16
S24442000028,03/10/2015,9,2.38
S27198300059,08/06/2015,9,2.38
S25371900106,04/29/2015,2.25,0.59
S28223900045,10/01/2015,1.5,0.4
S24249500021,02/26/2015,4.5,1.19
S23838800130,02/03/2015,3,0.79
S25725900005,05/19/2015,3,0.79
S26422600079,06/25/2015,0.75,0.2
S24800200048,03/31/2015,1.5,0.4
S28268800067,10/05/2015,1,0.26
S27736000002,09/04/2015,4.5,1.19
S24994000016,04/09/2015,9,2.38
S26960900017,07/27/2015,2.25,0.59
S27410500121,08/19/2015,1.5,0.4
S28937800028,11/09/2015,9,2.38
S27623300008,08/31/2015,4.5,1.19
S27158300028,08/05/2015,1.5,0.4
S25844600041,05/27/2015,3,0.79
S24007100133,02/11/2015,0.75,0.2
S24848500257,04/01/2015,1.5,0.4
S25791700030,05/21/2015,1.2,0.32
S24040800019,02/16/2015,1.5,0.4
S27434500016,08/20/2015,2,0.53
S27290300016,08/13/2015,9,2.38
S28783700050,11/02/2015,10.5,2.77
S23770300089,01/29/2015,3,0.79
S27158500155,08/05/2015,1.2,0.32
S26200100056,06/15/2015,9,2.38
S29134200163,11/17/2015,3,0.79
S28403700080,10/12/2015,1.5,0.4
S28890500037,11/05/2015,1.5,0.4
S23868700041,02/04/2015,4.5,1.19
S28918400071,11/11/2015,9,2.38
S28058200059,09/23/2015,2.25,0.59
S23635300035,01/22/2015,2.25,0.59
S26592700004,07/06/2015,9,2.38
S24127900031,02/19/2015,1.88,0.5
S26210600019,06/15/2015,0.38,0.1
S26053500034,06/08/2015,18,4.76
S29160700083,11/18/2015,5.25,1.39
S27426000024,08/20/2015,10.5,2.77
S27768200062,09/08/2015,2.25,0.59
S24901900062,04/06/2015,4.5,1.19
S28958500046,11/09/2015,2.25,0.59
S28403400039,10/12/2015,2.25,0.59
S29304100056,11/24/2015,9,2.38
S25557800077,05/11/2015,10.5,2.77
S29112800201,11/18/2015,0.5,0.13
S26106800044,06/09/2015,9,2.38
S27057800040,07/30/2015,0.5,0.13
S26278400013,06/17/2015,1.5,0.4
S28288600187,10/05/2015,0.5,0.13
